year,area_name_en,room_id,median_annual_rent,min_annual_rent,max_annual_rent,median_transaction_amount,rental_yield_percentage,rooms_en
2026.0,Trade Center First,1.0,87000.0,58000,115021,3288664.5,3.0,1 BHK
2026.0,Trade Center First,2.0,98400.0,72000,160000,5702000.0,2.0,2 BHK
2026.0,Trade Center First,3.0,121275.0,81999,225000,6318333.0,2.0,3 BHK
2026.0,Trade Center Second,1.0,75000.0,52800,140000,4271000.0,2.0,1 BHK
2026.0,Trade Center Second,2.0,95000.0,75000,275000,6064000.0,2.0,2 BHK
2026.0,Trade Center Second,3.0,140000.0,90000,275000,10786500.0,1.0,3 BHK
2026.0,Trade Center Second,4.0,207000.0,207000,207000,4675000.0,4.0,4 BHK
2026.0,Um Suqaim Third,1.0,130275.0,115000,168000,2389500.0,5.0,1 BHK
2026.0,Um Suqaim Third,2.0,267500.0,210000,325000,3708000.0,7.0,2 BHK
2026.0,Um Suqaim Third,3.0,181000.0,120000,270000,6489500.0,3.0,3 BHK
2026.0,Um Suqaim Third,4.0,262200.0,180000,550000,19954000.0,1.0,4 BHK
2026.0,Wadi Al Safa 2,0.0,41000.0,28600,50000,742277.0,6.0,Studio
2026.0,Wadi Al Safa 2,1.0,51500.0,37950,78000,881200.0,6.0,1 BHK
2026.0,Wadi Al Safa 2,2.0,69939.0,55700,145000,1366042.0,5.0,2 BHK
2026.0,Wadi Al Safa 2,3.0,1200.0,1200,1200,2714828.0,0.0,3 BHK
2026.0,Wadi Al Safa 3,0.0,38000.0,30360,90000,697499.0,5.0,Studio
2026.0,Wadi Al Safa 3,1.0,65000.0,41000,265000,1099999.0,6.0,1 BHK
2026.0,Wadi Al Safa 3,2.0,85000.0,52500,380000,1525999.0,6.0,2 BHK
2026.0,Wadi Al Safa 3,3.0,155000.0,79000,170000,2056212.0,8.0,3 BHK
2026.0,Wadi Al Safa 3,4.0,210000.0,180000,1400000,2766600.0,8.0,4 BHK
2026.0,Wadi Al Safa 5,0.0,42000.0,27972,75000,714000.0,6.0,Studio
2026.0,Wadi Al Safa 5,1.0,52000.0,37566,116100,1030111.0,5.0,1 BHK
2026.0,Wadi Al Safa 5,2.0,70000.0,30000,130000,1510572.0,5.0,2 BHK
2026.0,Wadi Al Safa 5,3.0,160000.0,45000,320000,2010983.0,8.0,3 BHK
2026.0,Wadi Al Safa 5,4.0,202500.0,110000,400000,2366285.0,9.0,4 BHK
2026.0,Wadi Al Safa 7,0.0,44000.0,36000,61319,495000.0,9.0,Studio
2026.0,Wadi Al Safa 7,1.0,60000.0,30000,80000,593600.0,10.0,1 BHK
2026.0,Wadi Al Safa 7,2.0,125000.0,82467,180000,1520000.0,8.0,2 BHK
2026.0,Warsan Fourth,0.0,40000.0,20475,49000,460798.0,9.0,Studio
2026.0,Warsan Fourth,1.0,55000.0,36000,88360,670000.0,8.0,1 BHK
2026.0,Warsan Fourth,2.0,64000.0,52000,120000,1070878.5,6.0,2 BHK
2026.0,Zaabeel First,2.0,820000.0,820000,820000,8100000.0,10.0,2 BHK
2026.0,Zaabeel Second,1.0,127404.0,115000,145000,2120000.0,6.0,1 BHK
